Ack,Android_ID,App_Name,At_Home,Current_Activity,Latency,Goal_Alignment,Intervention_Type,Sleepiness,Prolific_ID,Rshci 1,Rshci 2,Rshci 3,Rshci 4,Rshci 5,Valence,Satisfaction,Agency,Multitasking,Social_Situation,Stress,Timestamp,Usefulness,Gender,Age,Impulsivity[Imp1],Impulsivity[Imp2],Impulsivity[Imp3],Impulsivity[Imp4],Impulsivity[Imp5],Impulsivity[Imp6],Impulsivity[Imp7],Impulsivity[Imp8],Impulsivity[Imp9],Impulsivity[Imp10],Impulsivity[Imp11],Impulsivity[Imp12],Impulsivity[Imp13],Impulsivity[Imp14],Impulsivity[Imp15],Anxiety[Anx1],Anxiety[Anx2],Anxiety[Anx3],Anxiety[Anx4],Anxiety[Anx5],SelfControl[SC1],SelfControl[SC2],SelfControl[SC3],SelfControl[SC4],SelfControl[SC5],SelfControl[SC6],SelfControl[SCATC],SelfControl[SC7],SelfControl[SC8],SelfControl[SC9],SelfControl[SC10],SelfControl[SC11],SelfControl[SC12],SelfControl[SC13],FOMO[Fomo1],FOMO[Fomo2],FOMO[Fomo3],FOMO[Fomo4],FOMO[Fomo5]
True,997e5f613e9cc6b4,,True,1,0,6,Vibration,6,55cff4a834e9060012e57407,2,2,2,2,3,4,5,4,Yes,alone,3,Mar 16 02:25:39,6,Female,28.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
True,997e5f613e9cc6b4,,True,-1,0,6,Pop-Up,5,55cff4a834e9060012e57407,2,2,2,2,2,4,5,4,Yes,alone,2,Mar 16 00:31:42,6,Female,28.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
True,997e5f613e9cc6b4,TikTok,True,0,413,4,SpotOverlay,4,55cff4a834e9060012e57407,4,4,4,3,4,3,3,3,Yes,friends,2,Mar 15 17:45:48,3,Female,28.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
True,997e5f613e9cc6b4,,True,0,1,7,SpotOverlay,9,55cff4a834e9060012e57407,1,1,1,1,2,2,5,4,No,alone,2,Mar 20 06:01:23,7,Female,28.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
True,997e5f613e9cc6b4,,True,-3,0,3,Vibration,7,55cff4a834e9060012e57407,3,4,3,4,4,3,4,5,No,alone,6,Mar 15 02:36:15,2,Female,28.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
True,997e5f613e9cc6b4,,True,-1,30,4,SpotOverlay,6,55cff4a834e9060012e57407,4,4,4,4,4,3,5,6,Yes,alone,3,Mar 15 18:59:46,3,Female,28.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
True,997e5f613e9cc6b4,,True,0,0,3,Vibration,9,55cff4a834e9060012e57407,4,4,4,4,4,2,2,2,No,alone,3,Mar 14 10:16:36,1,Female,28.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
True,997e5f613e9cc6b4,,True,-2,27,4,Vibration,5,55cff4a834e9060012e57407,3,3,4,4,4,3,4,5,Yes,alone,3,Mar 15 14:39:20,3,Female,28.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
True,997e5f613e9cc6b4,,True,-3,43,4,Vibration,8,55cff4a834e9060012e57407,4,4,5,5,5,4,4,6,Yes,alone,1,Mar 20 04:05:33,2,Female,28.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
True,853000022ea31bd0,,True,-3,2,4,SpotOverlay,7,56896501d3d6a7000ca23da8,3,3,2,2,2,4,6,5,No,friends,0,Mar 9 13:33:18,5,Female,35.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,5.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0
True,5069d714c34fe3dd,,True,-3,16,4,SpotOverlay,3,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,4,4,Yes,friends,0,Mar 23 12:48:25,3,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,Instagram,True,-3,362,4,Pop-Up,7,56d7623f04c67d000c7b9de6,4,4,3,4,4,4,4,7,No,alone,0,Mar 18 21:31:18,4,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,Instagram,True,-3,0,3,Pop-Up,9,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,5,7,No,alone,0,Mar 22 22:30:03,3,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,,True,-3,0,4,Pop-Up,1,56d7623f04c67d000c7b9de6,4,4,4,4,4,5,5,6,No,friends,0,Mar 22 09:36:04,4,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,,True,1,0,4,SpotOverlay,1,56d7623f04c67d000c7b9de6,4,4,4,4,4,5,4,7,Yes,friends,0,Mar 24 08:12:02,3,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,Instagram,True,-3,51,5,Pop-Up,8,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,5,6,No,alone,0,Mar 21 22:00:27,5,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,Instagram,True,-3,0,3,Vibration,7,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,3,7,No,alone,0,Mar 19 21:45:49,2,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
True,5069d714c34fe3dd,,True,-3,0,4,SpotOverlay,7,56d7623f04c67d000c7b9de6,4,4,4,4,4,4,4,6,Yes,alone,0,Mar 24 19:45:05,4,Female,35.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
